,NAME,AHA_ID,ZIP,STATE,SCORE,RANKING,LATITUDE,LONGITUDE,RAW_SCORE,Percentile Rank,STAR,NEW_COOR,LAT,LON
0,University of Texas MD Anderson Cancer Center,6741945,77030,TX,100.0/100,1.0,29.7076703,-95.39784363145692,100.0,1.0,5,"(29.7041, -95.401)",29.7041,-95.401
1,Mayo Clinic,6610451,53821,WI,79.9/100,3.0,43.051688,-91.1328666,79.9,0.9972222222222222,5,"(43.0426, -91.1193)",43.0426,-91.1193
2,UCLA Medical Center,6931755,90095,CA,73.2/100,5.0,34.0655633,-118.445498,73.2,0.9958333333333333,5,"(33.7866, -118.2987)",33.7866,-118.2987
3,Cleveland Clinic,6410670,44333,OH,71.9/100,6.0,41.1311623,-81.6107858,71.9,0.9944444444444445,5,"(41.1552, -81.6314)",41.1552,-81.6314
4,Cedars-Sinai Medical Center,6930444,90048,CA,67.7/100,11.0,34.0751604,-118.38109362449856,67.7,0.9930555555555556,5,"(34.0737, -118.372)",34.0737,-118.372
5,Johns Hopkins Hospital,6320180,21287,MD,67.4/100,13.0,39.2964392,-76.59239403267401,67.4,0.9902777777777778,5,"(39.2975, -76.5927)",39.2975,-76.5927
6,Stanford Health Care-Stanford Hospital,6932330,94550,CA,66.2/100,15.0,37.67754085,-121.78163750818334,66.2,0.9888888888888889,5,"(37.683, -121.763)",37.683,-121.763
7,Massachusetts General Hospital,6140430,02114,MA,61.0/100,21.0,42.36286045,-71.06875296664998,61.0,0.9861111111111112,5,"(42.3611, -71.0682)",42.3611,-71.0682
8,Duke University Hospital,6360355,27710,NC,60.5/100,22.0,36.007021300000005,-78.93734788335824,60.5,0.9847222222222223,5,"(36.0512, -78.8577)",36.0512,-78.8577
9,Mayo Clinic-Phoenix,6860019,85054,AZ,60.4/100,23.0,33.66161605,-111.95891195819978,60.4,0.9833333333333333,5,"(33.6731, -111.9461)",33.6731,-111.9461
10,UT Southwestern Medical Center,6740343,75390,TX,60.2/100,25.0,32.8138432,-96.84391424383163,60.2,0.9819444444444444,5,"(32.7673, -96.7776)",32.7673,-96.7776
11,Houston Methodist Hospital,6741960,77030,TX,58.2/100,29.0,29.7108167,-95.39926397738664,58.2,0.9791666666666666,5,"(29.7041, -95.401)",29.7041,-95.401
12,AdventHealth Orlando,6390690,32803,FL,57.9/100,30.0,28.57463195,-81.36937223635866,57.9,0.9777777777777777,5,"(28.5559, -81.3535)",28.5559,-81.3535
13,Beth Israel Deaconess Medical Center,6140013,02215,MA,57.7/100,31.0,42.3397904,-71.10488119870453,57.7,0.9756944444444444,5,"(42.3471, -71.1027)",42.3471,-71.1027
14,Rush University Medical Center,6430985,60612,IL,57.7/100,31.0,41.87352605,-87.66910150819083,57.7,0.9756944444444444,5,"(41.8805, -87.6873)",41.8805,-87.6873
15,Vanderbilt University Medical Center,6521060,37232,TN,57.0/100,38.0,36.14092375,-86.80163418092431,57.0,0.9722222222222222,5,"(36.1866, -86.7852)",36.1866,-86.7852
16,Emory University Hospital,6380570,30322,GA,55.3/100,43.0,33.792151000000004,-84.32208292907711,55.3,0.9694444444444444,5,"(33.7952, -84.3248)",33.7952,-84.3248
17,MedStar Georgetown University Hospital,6330130,20007,DC,55.1/100,44.0,38.9111463,-77.07534615326537,55.1,0.9680555555555556,5,"(38.9144, -77.074)",38.9144,-77.074
18,UCI Medical Center,6932290,92868,CA,54.5/100,46.0,33.787356,-117.88842240324416,54.5,0.9659722222222222,5,"(33.7875, -117.8776)",33.7875,-117.8776
19,University of Kansas Hospital,6670510,66160,KS,54.5/100,46.0,39.0571097,-94.60954381173708,54.5,0.9659722222222222,5,"(39.0966, -94.7495)",39.0966,-94.7495
20,Queen's Medical Center,6950380,96813,HI,54.4/100,48.0,21.30814575,-157.8541318869153,54.4,0.9638888888888889,5,"(21.3179, -157.8521)",21.3179,-157.8521
21,Fred & Pamela Buffett Cancer Center,6660005,68105,NE,53.3/100,,41.2555695,-95.97950174363602,53.3,0.9597222222222223,5,"(41.2435, -95.9629)",41.2435,-95.9629
22,UW Health University Hospital,6450820,53792,WI,53.3/100,,43.0763751,-89.43200488089545,53.3,0.9597222222222223,5,"(43.0696, -89.4239)",43.0696,-89.4239
23,Mayo Clinic-Jacksonville,6390380,32224,FL,52.9/100,,30.2604657,-81.44479406045171,52.9,0.9569444444444445,5,"(30.3031, -81.4404)",30.3031,-81.4404
24,Fox Chase Cancer Center,6231660,19111,PA,52.7/100,,40.07127055,-75.09098053005897,52.7,0.9555555555555556,5,"(40.0596, -75.0818)",40.0596,-75.0818
25,University of Virginia Medical Center,6344000,22908,VA,52.4/100,,38.0324342,-78.499060670954,52.4,0.9541666666666667,5,"(38.0401, -78.4851)",38.0401,-78.4851
26,Baylor University Medical Center,6740900,75226,TX,52.1/100,,32.7865443,-96.78199034999996,52.1,0.9527777777777777,5,"(32.7887, -96.7676)",32.7887,-96.7676
27,Loma Linda University Medical Center,6930053,92354,CA,51.6/100,,34.04911185,-117.26343554537584,51.6,0.9513888888888888,5,"(34.0528, -117.2513)",34.0528,-117.2513
28,VCU Medical Center,6340860,23219,VA,51.5/100,,37.5402575,-77.43006310233004,51.5,0.95,5,"(37.5463, -77.4378)",37.5463,-77.4378
29,Dartmouth Hitchcock Medical Center,6120170,03756,NH,50.8/100,,43.67568425,-72.27010182235165,50.8,0.9486111111111111,5,"(43.6423, -72.2518)",43.6423,-72.2518
30,Levine Cancer Institute,6360280,28204,NC,50.0/100,,35.2061955,-80.83816531315156,50.0,0.9451388888888889,5,"(35.2132, -80.8231)",35.2132,-80.8231
31,University of Maryland Medical Center,6320330,21201,MD,50.0/100,,39.28827365,-76.62439437177966,50.0,0.9451388888888889,5,"(39.2946, -76.6252)",39.2946,-76.6252
32,Advocate Christ Medical Center,6432413,60453,IL,49.6/100,,41.7217948,-87.73024577776657,49.6,0.9430555555555555,5,"(41.7143, -87.7516)",41.7143,-87.7516
33,Henry Ford Hospital,6440650,48202,MI,49.5/100,,42.36785215,-83.08551959773033,49.5,0.9409722222222222,5,"(42.377, -83.0796)",42.377,-83.0796
34,Tampa General Hospital,6391060,33606,FL,49.5/100,,27.9375006,-82.45890025533528,49.5,0.9409722222222222,5,"(27.9475, -82.4584)",27.9475,-82.4584
35,UNC Hospitals,6360260,27607,NC,49.4/100,,35.8181161,-78.7032625,49.4,0.9388888888888889,5,"(35.8014, -78.6877)",35.8014,-78.6877
36,Presbyterian-St. Luke's Medical Center,6840365,80218,CO,49.1/100,,39.74715715000001,-104.9670966889354,49.1,0.9375,5,"(39.7327, -104.9717)",39.7327,-104.9717
37,Roswell Park Comprehensive Cancer Center,6211120,14226,NY,48.9/100,,42.898619800000006,-78.86568071180923,48.9,0.9361111111111111,5,"(42.9744, -78.7949)",42.9744,-78.7949
38,Northwestern Medicine Lake Forest Hospital,6432060,60045,IL,48.8/100,,42.25475545,-87.86640630618811,48.8,0.9347222222222222,5,"(42.2374, -87.8482)",42.2374,-87.8482
39,University Health-San Antonio,6743105,78229,TX,48.1/100,,29.5048654,-98.57612786342676,48.1,0.9333333333333333,5,"(29.5042, -98.5697)",29.5042,-98.5697
40,Emory St. Joseph's Hospital,6380200,30342,GA,47.6/100,,33.9092071,-84.34918344111804,47.6,0.93125,5,"(33.8842, -84.3761)",33.8842,-84.3761
41,Boston Medical Center,6140010,02118,MA,47.4/100,,42.33417195,-71.07464492068902,47.4,0.9291666666666667,5,"(42.3362, -71.0729)",42.3362,-71.0729
42,MedStar Washington Hospital Center,6330120,20422,DC,47.3/100,,38.92902835,-77.01489463927336,47.3,0.9270833333333334,5,"(38.8933, -77.0146)",38.8933,-77.0146
43,West Penn Hospital,6232690,15224,PA,47.2/100,,40.4610027,-79.94612377082481,47.2,0.925,5,"(40.4642, -79.9448)",40.4642,-79.9448
44,Beaumont Hospital-Royal Oak,6442245,48073,MI,47.0/100,,42.514257400000005,-83.19290614899629,47.0,0.9229166666666667,5,"(42.519, -83.157)",42.519,-83.157
45,Scripps La Jolla Hospitals,6931130,92037,CA,47.0/100,,32.88436395,-117.22493980169492,47.0,0.9229166666666667,5,"(32.8455, -117.2521)",32.8455,-117.2521
46,Banner Gateway Medical Center,6860043,85234,AZ,46.9/100,,33.3850106,-111.7229666010548,46.9,0.9201388888888888,5,"(33.3527, -111.7809)",33.3527,-111.7809
47,MetroHealth Medical Center,6410655,44109,OH,46.9/100,,41.46041015,-81.69794784837309,46.9,0.9201388888888888,5,"(41.4458, -81.7033)",41.4458,-81.7033
48,Atrium Health Wake Forest Baptist Medical Center,6361700,27006,NC,46.5/100,,36.00937885,-80.44760924289538,46.5,0.9173611111111111,5,"(36.0065, -80.4463)",36.0065,-80.4463
49,Northside Hospital Atlanta,6380171,30342,GA,46.5/100,,33.9102901,-84.35450682100918,46.5,0.9173611111111111,5,"(33.8842, -84.3761)",33.8842,-84.3761
50,Loyola University Medical Center,6430841,60153,IL,46.4/100,,41.85901495,-87.83524274972845,46.4,0.9152777777777777,5,"(41.8793, -87.8433)",41.8793,-87.8433
51,Banner-University Medical Center Tucson,6860516,85724,AZ,46.2/100,,32.24123395,-110.94560417842028,46.2,0.9131944444444444,5,"(32.2406, -110.9443)",32.2406,-110.9443
52,University Medical Center-Lubbock,6742372,79415,TX,46.2/100,,33.58920315,-101.89199470216693,46.2,0.9131944444444444,5,"(33.6021, -101.876)",33.6021,-101.876
53,UF Health Shands Hospital,6390283,32608,FL,45.8/100,,29.64042595,-82.3434712582707,45.8,0.9111111111111111,5,"(29.6132, -82.3873)",29.6132,-82.3873
54,Penn State Health Milton S. Hershey Medical Center,6230705,17033,PA,45.6/100,,40.26370945,-76.67482218737376,45.6,0.9097222222222222,5,"(40.2638, -76.6545)",40.2638,-76.6545
55,Providence Saint John's Health Center,6933450,90404,CA,45.3/100,,34.03059945,-118.47945850177965,45.3,0.9083333333333333,5,"(34.0268, -118.4733)",34.0268,-118.4733
56,Avera McKennan Hospital and University Health Center,6650420,57105,SD,45.2/100,,43.534261150000006,-96.7138058139184,45.2,0.9055555555555556,5,"(43.524, -96.7341)",43.524,-96.7341
57,Emory University Hospital Midtown,6380080,30308,GA,45.2/100,,33.7703107,-84.3862718471207,45.2,0.9055555555555556,5,"(33.7718, -84.3757)",33.7718,-84.3757
58,Tufts Medical Center,6140465,02111,MA,45.2/100,,42.349555300000006,-71.06341692346794,45.2,0.9055555555555556,5,"(42.3503, -71.0629)",42.3503,-71.0629
59,Advocate Illinois Masonic Medical Center,6430024,60657,IL,44.7/100,,41.9375103,-87.65123024161718,44.7,0.8986111111111111,5,"(41.9399, -87.6528)",41.9399,-87.6528
60,Sharp Memorial Hospital,6932785,92123,CA,44.7/100,,32.79969815,-117.15435353818232,44.7,0.8986111111111111,5,"(32.7973, -117.1392)",32.7973,-117.1392
61,University of New Mexico Hospitals,6850037,87106,NM,44.3/100,,35.088498900000005,-106.61792076912994,44.3,0.8958333333333334,5,"(35.079, -106.6169)",35.079,-106.6169
62,Saint Luke's Cancer Institute,6630470,83687,ID,44.2/100,,43.6165048,-116.5921172287118,44.2,0.89375,5,"(43.5937, -116.536)",43.5937,-116.536
63,Sentara Norfolk General Hospital,6340620,23507,VA,44.2/100,,36.86246035,-76.30383383885481,44.2,0.89375,5,"(36.8645, -76.3004)",36.8645,-76.3004
64,Indiana University Health Medical Center,6420020,46204,IN,44.1/100,,39.78755735,-86.16382215911352,44.1,0.8916666666666667,5,"(39.772, -86.1535)",39.772,-86.1535
65,Karmanos Cancer Center,6440043,48201,MI,43.9/100,,42.3570277,-83.06208974134931,43.9,0.8902777777777777,5,"(42.3474, -83.0604)",42.3474,-83.0604
66,Hoag Memorial Hospital Presbyterian,6932115,92663,CA,43.6/100,,33.62344445,-117.92960405873278,43.6,0.8888888888888888,5,"(33.621, -117.9321)",33.621,-117.9321
67,Upstate University Hospital,6214885,13210,NY,43.4/100,,43.0425629,-76.1401517,43.4,0.8875,5,"(43.0354, -76.1282)",43.0354,-76.1282
68,Stormont Vail Hospital,6671025,66606,KS,43.2/100,,39.05252835,-95.6963517997523,43.2,0.8847222222222222,5,"(39.0583, -95.7095)",39.0583,-95.7095
69,Marin General Hospital,6933370,94904,CA,43.0/100,,37.9470222,-122.5373426,43.0,0.8819444444444444,5,"(37.9479, -122.5363)",37.9479,-122.5363
70,Inova Fairfax Hospital,6340490,22042,VA,42.9/100,,38.8574108,-77.22849480984827,42.9,0.8784722222222222,5,"(38.8635, -77.1939)",38.8635,-77.1939
71,Lancaster General Hospital,6231120,17602,PA,42.9/100,,40.047535,-76.30429175289342,42.9,0.8784722222222222,5,"(40.0335, -76.2844)",40.0335,-76.2844
72,Sky Ridge Medical Center,6840023,80124,CO,42.9/100,,39.52894535,-104.8713302471549,42.9,0.8784722222222222,5,"(39.5517, -104.8863)",39.5517,-104.8863
73,UNC Rex Hospital,6361210,27607,NC,42.9/100,,35.8184338,-78.7037664,42.9,0.8784722222222222,5,"(35.8014, -78.6877)",35.8014,-78.6877
74,Cleveland Clinic Weston,6390205,33331,FL,42.4/100,,26.0825093,-80.3677958,42.4,0.875,5,"(26.048, -80.3749)",26.048,-80.3749
75,Advocate Lutheran General Hospital,6430405,60068,IL,42.3/100,,42.0387108,-87.84847161416862,42.3,0.8736111111111111,5,"(42.0122, -87.8417)",42.0122,-87.8417
76,Greater Baltimore Medical Center,6320125,21204,MD,42.2/100,,39.3917767,-76.62564001825842,42.2,0.8722222222222222,5,"(39.4072, -76.6038)",39.4072,-76.6038
77,Covenant Medical Center-Lubbock,6742360,79410,TX,42.1/100,,33.57689345,-101.89211173098738,42.1,0.8708333333333333,5,"(33.5693, -101.8904)",33.5693,-101.8904
78,Banner-University Medical Center Phoenix,6860250,85006,AZ,42.0/100,,33.46470925,-112.05858003890629,42.0,0.8694444444444445,5,"(33.465, -112.0474)",33.465,-112.0474
79,Saint Joseph Hospital-Lexington,6510440,40504,KY,41.9/100,,38.032701200000005,-84.52709354466595,41.9,0.8673611111111111,5,"(38.0406, -84.5433)",38.0406,-84.5433
80,Medical City Dallas,6741025,75230,TX,41.6/100,,32.91149145,-96.7732312545507,41.6,0.8652777777777778,5,"(32.8999, -96.7897)",32.8999,-96.7897
81,Abbott Northwestern Hospital,6610815,55407,MN,41.4/100,,44.9540508,-93.2613343272702,41.4,0.8631944444444445,5,"(44.9378, -93.2545)",44.9378,-93.2545
82,Houston Methodist Willowbrook Hospital,6740204,77070,TX,41.4/100,,29.9671381,-95.55112997078028,41.4,0.8631944444444445,5,"(29.9781, -95.5803)",29.9781,-95.5803
83,Memorial Hospital West,6390034,33028,FL,41.3/100,,26.01266705,-80.31001449306567,41.3,0.8611111111111112,5,"(26.0185, -80.3449)",26.0185,-80.3449
84,Dell Seton Medical Center at the University of Texas,6741110,78701,TX,41.2/100,,30.27715345,-97.73440380486116,41.2,0.8597222222222223,5,"(30.2713, -97.7426)",30.2713,-97.7426
85,Providence Portland Medical Center,6920520,97213,OR,41.1/100,,45.5282065,-122.61342203311632,41.1,0.8583333333333333,5,"(45.5373, -122.5987)",45.5373,-122.5987
86,Advocate Sherman Hospital,6431610,60123,IL,41.0/100,,42.06992555,-88.3311591326983,41.0,0.8548611111111111,5,"(42.0376, -88.3186)",42.0376,-88.3186
